iter	Passed	Remaining
406	5682	8279
407	5697	8267
408	5713	8256
409	5728	8243
410	5742	8229
411	5755	8214
412	5770	8200
413	5781	8183
414	5795	8169
415	5808	8154
416	5823	8142
417	5837	8128
418	5851	8113
419	5863	8097
420	5877	8083
421	5890	8068
422	5904	8053
423	5917	8038
424	5929	8022
425	5944	8009
426	5957	7993
427	5972	7981
428	5986	7968
429	5999	7952
430	6012	7937
431	6026	7923
432	6040	7909
433	6053	7894
434	6067	7880
435	6080	7865
436	6094	7851
437	6107	7836
438	6120	7821
439	6134	7806
440	6146	7791
441	6160	7777
442	6174	7763
443	6188	7749
444	6203	7736
445	6216	7721
446	6229	7706
447	6241	7690
448	6257	7678
449	6270	7663
450	6284	7649
451	6296	7633
452	6309	7618
453	6322	7603
454	6336	7589
455	6349	7574
456	6362	7559
457	6376	7545
458	6389	7531
459	6402	7516
460	6416	7501
461	6428	7486
462	6442	7471
463	6455	7456
464	6468	7442
465	6481	7427
466	6494	7412
467	6507	7397
468	6521	7384
469	6537	7372
470	6551	7358
471	6564	7343
472	6577	7328
473	6590	7313
474	6602	7297
475	6616	7284
476	6629	7268
477	6641	7253
478	6654	7237
479	6667	7222
480	6680	7208
481	6695	7195
482	6708	7181
483	6721	7166
484	6735	7152
485	6749	7138
486	6762	7123
487	6776	7110
488	6790	7095
489	6804	7082
490	6819	7069
491	6832	7054
492	6846	7040
493	6859	7025
494	6872	7011
495	6885	6996
496	6899	6982
497	6912	6968
498	6925	6953
499	6938	6938
500	6951	6923
501	6965	6909
502	6978	6895
503	6991	6880
504	7006	6867
505	7020	6853
506	7034	6840
507	7047	6825
508	7062	6812
509	7076	6799
510	7089	6784
511	7104	6771
512	7119	6758
513	7133	6744
514	7146	6730
515	7160	6716
516	7175	6703
517	7188	6689
518	7203	6675
519	7217	6661
520	7230	6647
521	7242	6632
522	7255	6617
523	7268	6602
524	7281	6587
525	7296	6574
526	7309	6560
527	7323	6546
528	7335	6531
529	7348	6516
530	7361	6502
531	7374	6487
532	7387	6473
533	7401	6459
534	7416	6446
535	7431	6433
536	7444	6418
537	7457	6404
538	7470	6389
539	7483	6374
540	7497	6361
541	7511	6347
542	7524	6333
543	7539	6320
544	7554	6306
545	7567	6292
546	7580	6277
547	7594	6264
548	7607	6249
549	7621	6235
550	7634	6221
551	7647	6206
552	7662	6193
553	7676	6179
554	7690	6165
555	7702	6150
556	7715	6136
557	7730	6123
558	7743	6109
559	7757	6095
560	7771	6081
561	7785	6067
562	7797	6052
563	7810	6038
564	7824	6024
565	7838	6010
566	7852	5996
567	7865	5981
568	7879	5968
569	7893	5954
570	7908	5941
571	7922	5927
572	7936	5913
573	7949	5899
574	7962	5885
575	7975	5870
576	7990	5858
577	8004	5844
578	8019	5830
579	8032	5816
580	8047	5803
581	8061	5789
582	8075	5776
583	8091	5763
584	8105	5750
585	8119	5736
586	8132	5721
587	8145	5707
588	8159	5693
589	8173	5680
590	8187	5666
591	8200	5651
592	8213	5636
593	8227	5623
594	8241	5610
595	8255	5596
596	8269	5582
597	8282	5567
598	8294	5552
599	8309	5539
600	8322	5525
601	8335	5510
602	8348	5496
603	8361	5481
604	8374	5467
605	8388	5453
606	8402	5439
607	8414	5425
608	8426	5410
609	8440	5396
610	8454	5382
611	8467	5368
612	8481	5354
613	8495	5340
614	8509	5326
615	8522	5312
616	8536	5299
617	8550	5285
618	8563	5271
619	8576	5256
620	8590	5242
621	8605	5229
622	8621	5217
623	8636	5203
624	8649	5189
625	8665	5176
626	8678	5163
627	8693	5149
628	8707	5136
629	8720	5121
630	8734	5107
631	8749	5094
632	8761	5079
633	8775	5065
634	8789	5052
635	8803	5038
636	8817	5024
637	8830	5010
638	8843	4995
639	8856	4982
640	8870	4968
641	8883	4953
642	8898	4940
643	8911	4926
644	8924	4911
645	8937	4897
646	8950	4883
647	8963	4869
648	8977	4855
649	8990	4841
650	9005	4827
651	9018	4813
652	9032	4799
653	9046	4785
654	9059	4771
655	9073	4757
656	9086	4743
657	9099	4729
658	9112	4715
659	9126	4701
660	9138	4686
661	9152	4673
662	9165	4658
663	9179	4645
664	9193	4631
665	9206	4616
666	9220	4603
667	9235	4590
668	9250	4576
669	9263	4562
670	9277	4548
671	9290	4534
672	9303	4520
673	9317	4506
674	9332	4493
675	9346	4479
676	9360	4466
677	9375	4452
678	9388	4438
679	9400	4423
680	9414	4410
681	9430	4397
682	9445	4383
683	9458	4369
684	9471	4355
685	9483	4341
686	9498	4327
687	9511	4313
688	9525	4299
689	9539	4285
690	9551	4271
691	9564	4256
692	9577	4242
693	9591	4229
694	9603	4214
695	9617	4200
696	9630	4186
697	9644	4172
698	9657	4158
699	9672	4145
700	9685	4131
701	9699	4117
702	9713	4103
703	9728	4090
704	9743	4077
705	9758	4063
706	9773	4050
707	9786	4036
708	9799	4022
709	9812	4008
710	9826	3994
711	9840	3980
712	9854	3966
713	9867	3952
714	9880	3938
715	9895	3924
716	9909	3911
717	9925	3898
718	9939	3884
719	9954	3871
720	9967	3857
721	9982	3843
722	9997	3830
723	10011	3816
724	10025	3802
725	10039	3789
726	10053	3775
727	10068	3761
728	10081	3747
729	10097	3734
730	10112	3721
731	10128	3708
732	10141	3693
733	10154	3679
734	10167	3665
735	10180	3651
736	10193	3637
737	10207	3623
738	10220	3609
739	10232	3595
740	10245	3581
741	10260	3567
742	10273	3553
743	10287	3539
744	10299	3525
745	10313	3511
746	10325	3497
747	10338	3483
748	10351	3469
749	10365	3455
750	10378	3440
751	10391	3426
752	10405	3413
753	10419	3399
754	10432	3385
755	10445	3371
756	10460	3358
757	10475	3344
758	10489	3330
759	10502	3316
760	10516	3302
761	10530	3288
762	10543	3274
763	10557	3261
764	10572	3247
765	10585	3233
766	10599	3219
767	10613	3206
768	10629	3192
769	10644	3179
770	10657	3165
771	10674	3152
772	10688	3138
773	10703	3125
774	10716	3111
775	10729	3097
776	10742	3083
777	10756	3069
778	10769	3055
779	10783	3041
780	10796	3027
781	10809	3013
782	10824	2999
783	10838	2986
784	10852	2972
785	10865	2958
786	10880	2944
787	10895	2931
788	10908	2917
789	10921	2903
790	10934	2889
791	10947	2875
792	10960	2861
793	10973	2846
794	10987	2833
795	11001	2819
796	11015	2805
797	11029	2791
798	11041	2777
799	11054	2763
800	11068	2749
801	11081	2735
802	11095	2722
803	11110	2708
804	11129	2695
805	11145	2682
806	11161	2669
807	11174	2655
808	11188	2641
809	11203	2627
810	11217	2614
811	11231	2600
812	11245	2586
813	11258	2572
814	11270	2558
815	11284	2544
816	11298	2530
817	11312	2516
818	11324	2502
819	11338	2488
820	11351	2474
821	11366	2461
822	11379	2447
823	11393	2433
824	11408	2420
825	11423	2406
826	11436	2392
827	11449	2378
828	11463	2364
829	11477	2350
830	11492	2337
831	11507	2323
832	11519	2309
833	11533	2295
834	11546	2281
835	11560	2267
836	11574	2254
837	11588	2240
838	11603	2226
839	11617	2212
840	11630	2198
841	11644	2185
842	11658	2171
843	11671	2157
844	11685	2143
845	11698	2129
846	11712	2115
847	11725	2101
848	11739	2087
849	11752	2073
850	11766	2060
851	11780	2046
852	11795	2032
853	11809	2019
854	11823	2005
855	11838	1991
856	11852	1977
857	11865	1963
858	11878	1949
859	11892	1936
860	11906	1922
861	11918	1908
862	11932	1894
863	11946	1880
864	11960	1866
865	11973	1852
866	11987	1838
867	12000	1824
868	12013	1811
869	12026	1797
870	12040	1783
871	12053	1769
872	12065	1755
873	12080	1741
874	12093	1727
875	12105	1713
876	12119	1699
877	12133	1685
878	12147	1672
879	12164	1658
880	12178	1645
881	12192	1631
882	12205	1617
883	12218	1603
884	12231	1589
885	12246	1575
886	12262	1562
887	12275	1548
888	12290	1534
889	12303	1520
890	12318	1506
891	12331	1493
892	12344	1479
893	12357	1465
894	12371	1451
895	12384	1437
896	12396	1423
897	12410	1409
898	12424	1395
899	12438	1382
900	12452	1368
901	12465	1354
902	12479	1340
903	12492	1326
904	12505	1312
905	12519	1298
906	12531	1284
907	12544	1270
908	12559	1257
909	12572	1243
910	12585	1229
911	12597	1215
912	12611	1201
913	12626	1188
914	12640	1174
915	12655	1160
916	12669	1146
917	12682	1132
918	12695	1118
919	12709	1105
920	12723	1091
921	12739	1077
922	12755	1064
923	12769	1050
924	12783	1036
925	12796	1022
926	12809	1008
927	12822	994
928	12836	981
929	12849	967
930	12861	953
931	12875	939
932	12888	925
933	12901	911
934	12915	897
935	12928	883
936	12941	870
937	12956	856
938	12969	842
939	12982	828
940	12996	814
941	13009	801
942	13023	787
943	13037	773
944	13051	759
945	13064	745
946	13077	731
947	13091	718
948	13106	704
949	13119	690
950	13133	676
951	13145	662
952	13157	648
953	13172	635
954	13186	621
955	13199	607
956	13213	593
957	13227	579
958	13239	566
959	13254	552
960	13268	538
961	13282	524
962	13296	510
963	13310	497
964	13324	483
965	13338	469
966	13352	455
967	13365	441
968	13379	428
969	13393	414
970	13406	400
971	13421	386
972	13434	372
973	13447	358
974	13460	345
975	13473	331
976	13485	317
977	13498	303
978	13512	289
979	13525	276
980	13539	262
981	13552	248
982	13566	234
983	13581	220
984	13593	207
985	13606	193
986	13620	179
987	13633	165
988	13647	151
989	13661	137
990	13675	124
991	13687	110
992	13701	96
993	13714	82
994	13727	68
995	13740	55
996	13754	41
997	13768	27
998	13784	13
999	13800	0
