Features,KMeans Silhouette,Agglomerative Silhouette,GMM Silhouette,KMeans Davies-Bouldin,Agglomerative Davies-Bouldin,GMM Davies-Bouldin,KMeans Calinski-Harabasz,Agglomerative Calinski-Harabasz,GMM Calinski-Harabasz
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'LoginAttempts', 'AccountBalance']",0.41663834015754575,0.41167473380288544,0.3876528927310118,0.9578430340138046,0.8613535489890298,0.8382657007222245,1732.576211394043,1542.2590401861642,1316.1660355767328
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'LoginAttempts', 'TransactionHour']",0.34418139626820027,0.3053011678307094,0.44742322075495217,1.2043437525905563,1.2467646136782216,1.3828492300284507,1172.5599478997171,1016.0728671868734,779.7038754426095
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'LoginAttempts', 'TimeSinceLastTransaction']",0.33955084316514844,0.30691585607365995,0.5198688987585791,1.1693249637467913,1.2072543014432076,1.4026043070794523,1133.6614508588775,1091.877870256429,607.5483063104298
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'LoginAttempts', 'TransactionAmountRelativeToBalance']",0.40977891715478176,0.39815061191790246,0.4265685725702261,1.1013846277017258,1.0613370334521643,1.0165524081279822,787.8140384884144,1108.073046253812,1142.1502295662317
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'LoginAttempts', 'IsNewDevice']",0.3648902789360703,0.3509819748573355,0.4288429982639284,1.104377210143447,1.1673152993940326,1.3080814667960554,1177.5655902459864,1028.3168873650973,747.1806746649845
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'LoginAttempts', 'FailedLoginFlag']",0.8152510596070839,0.8152510596070839,0.8152510596070839,0.37021940021916444,0.37021940021916444,0.37021940021916444,4120.2552539429835,4120.2552539429835,4120.2552539429835
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'LoginAttempts', 'TransactionType']",0.8152510596070839,0.8152510596070839,0.8152510596070839,0.37021940021916444,0.37021940021916444,0.37021940021916444,4120.2552539429835,4120.2552539429835,4120.2552539429835
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'LoginAttempts', 'Location']",0.8152510596070839,0.8152510596070839,0.8152510596070839,0.37021940021916444,0.37021940021916444,0.37021940021916444,4120.2552539429835,4120.2552539429835,4120.2552539429835
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'LoginAttempts', 'Channel']",0.8152510596070839,0.8152510596070839,0.8152510596070839,0.37021940021916444,0.37021940021916444,0.37021940021916444,4120.2552539429835,4120.2552539429835,4120.2552539429835
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'LoginAttempts', 'CustomerOccupation']",0.8152510596070839,0.8152510596070839,0.8152510596070839,0.37021940021916444,0.37021940021916444,0.37021940021916444,4120.2552539429835,4120.2552539429835,4120.2552539429835
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'AccountBalance', 'TransactionHour']",0.3938532041740731,0.29867305353893975,0.38344824709150466,1.0188258997125446,1.1239085921065677,0.9412923257898642,1751.5394709744821,1210.4447854503617,1403.4369180043454
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'AccountBalance', 'TimeSinceLastTransaction']",0.39045897586155837,0.378192276426369,0.37839304558558423,1.0260747320476815,1.0824457625124502,0.9576007788617139,1738.9861690358127,1641.634371466654,1409.3358567405135
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'AccountBalance', 'TransactionAmountRelativeToBalance']",0.4523522544778449,0.4545132634707316,0.4619880695856752,0.998712332911727,0.9784599212321717,0.994337538751073,1584.563338499492,1484.8646874932126,1507.751744515797
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'AccountBalance', 'IsNewDevice']",0.45179018075671923,0.39382945389426044,0.4335924809185774,0.8436417714875342,0.9495728143573972,0.7687749981894219,1720.7109331817935,1492.0052305440533,1378.8016126992895
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'AccountBalance', 'FailedLoginFlag']",0.4103203397528444,0.3830728813417097,0.3771978823474376,0.9728718980399953,0.8676810260055559,0.8481057829252938,1732.0361306197747,1338.20703893271,1274.6704910218994
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'AccountBalance', 'TransactionType']",0.4103203397528444,0.3830728813417097,0.3771978823474376,0.9728718980399953,0.8676810260055559,0.8481057829252938,1732.0361306197747,1338.20703893271,1274.6704910218994
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'AccountBalance', 'Location']",0.4103203397528444,0.3830728813417097,0.3771978823474376,0.9728718980399953,0.8676810260055559,0.8481057829252938,1732.0361306197747,1338.20703893271,1274.6704910218994
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'AccountBalance', 'Channel']",0.4103203397528444,0.3830728813417097,0.3771978823474376,0.9728718980399953,0.8676810260055559,0.8481057829252938,1732.0361306197747,1338.20703893271,1274.6704910218994
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'AccountBalance', 'CustomerOccupation']",0.4103203397528444,0.3830728813417097,0.3771978823474376,0.9728718980399953,0.8676810260055559,0.8481057829252938,1732.0361306197747,1338.20703893271,1274.6704910218994
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TransactionHour', 'TimeSinceLastTransaction']",0.3327587827894754,0.30750465402654914,0.3284831850996348,1.1940982575507806,1.2882818525117672,1.1890400398472174,1314.408779656148,1071.4535621538678,1284.9321027582607
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TransactionHour', 'TransactionAmountRelativeToBalance']",0.5014773979560171,0.46881528772972275,0.5076510147498556,0.9079918363076551,0.9624289613967804,0.8888070487210326,1307.4314036851729,1033.5578408616307,1301.877602112657
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TransactionHour', 'IsNewDevice']",0.37462619822109594,0.9598774608236748,0.9598774608236748,1.0274945800719577,0.028096205833548202,0.028096205833548202,1137.6746490744526,959.5083126038209,959.5083126038209
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TransactionHour', 'FailedLoginFlag']",0.4170314335250125,0.260117584661661,0.45918580451819646,1.1187522933723983,1.153802998562424,1.3246885740662835,1088.68366748001,937.2895130213022,880.2306184953609
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TransactionHour', 'TransactionType']",0.4170314335250125,0.260117584661661,0.45918580451819646,1.1187522933723983,1.153802998562424,1.3246885740662835,1088.68366748001,937.2895130213022,880.2306184953609
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TransactionHour', 'Location']",0.4170314335250125,0.260117584661661,0.45918580451819646,1.1187522933723983,1.153802998562424,1.3246885740662835,1088.68366748001,937.2895130213022,880.2306184953609
